"hour","x","y","twitter","instagram"
0,69,59,0,1
0,79,72,0,1
0,85,113,0,1
0,94,76,0,1
0,103,82,0,1
0,104,80,0,2
0,104,81,0,4
0,104,104,1,0
0,105,78,0,1
0,105,79,0,1
0,105,80,0,1
0,107,57,0,1
0,107,84,0,1
0,109,72,0,2
0,110,78,0,1
0,111,82,0,1
0,112,70,0,1
0,112,82,0,1
0,113,76,0,3
0,113,81,0,1
0,114,76,0,2
0,115,80,0,1
0,116,72,1,0
0,116,81,1,2
0,116,88,0,1
0,117,81,0,1
0,117,82,0,1
0,118,80,1,8
0,119,66,0,1
0,119,79,0,4
0,119,87,0,1
0,120,78,0,5
0,121,77,0,3
0,121,78,0,3
0,121,80,0,4
0,121,88,0,2
0,122,47,0,2
0,122,65,0,1
0,122,78,0,1
0,123,35,0,1
0,123,62,0,1
0,123,68,0,1
0,124,74,0,1
0,124,96,3,0
0,126,52,0,1
0,126,60,0,1
0,128,73,0,1
0,129,55,0,1
0,129,68,0,2
0,129,85,0,1
0,129,88,0,1
0,130,73,0,2
0,130,76,0,1
0,131,72,0,2
0,131,73,0,27
0,131,75,0,1
0,131,76,0,1
0,131,77,0,1
0,131,80,0,2
0,131,81,0,9
0,132,73,0,8
0,132,74,1,4
0,132,81,0,3
0,133,66,0,1
0,133,70,1,0
0,133,75,0,2
0,133,78,0,1
0,133,79,0,1
0,133,103,0,1
0,134,64,0,4
0,134,67,1,0
0,134,68,0,2
0,134,71,0,2
0,134,72,0,3
0,134,87,0,1
0,134,95,1,0
0,135,69,0,1
0,135,72,0,1
0,135,73,0,6
0,135,74,0,9
0,135,75,0,1
0,135,76,0,3
0,135,100,0,1
0,136,68,0,5
0,136,70,1,10
0,136,71,0,2
0,136,72,0,1
0,136,73,0,3
0,136,74,0,5
0,136,75,0,1
0,136,79,0,1
0,137,65,0,1
0,137,66,0,1
0,137,68,0,1
0,137,71,0,1
0,137,72,0,3
0,137,75,0,1
0,138,66,0,1
0,138,67,0,4
0,138,69,0,2
0,138,72,1,3
0,138,79,3,128
0,139,50,0,1
0,139,65,0,1
0,139,68,0,3
0,139,69,0,1
0,139,72,0,2
0,140,57,0,1
0,140,67,0,1
0,140,69,0,1
0,140,70,0,2
0,140,74,1,1
0,141,67,0,3
0,141,70,1,11
0,141,78,0,1
0,141,88,0,1
0,142,67,0,1
0,142,69,0,1
0,142,79,0,1
0,142,82,0,1
0,143,67,0,2
0,143,79,0,7
0,143,80,0,1
0,144,71,1,0
0,144,74,0,4
0,144,79,0,4
0,144,80,0,2
0,144,90,0,1
0,145,65,0,2
0,145,66,0,2
0,145,83,0,2
0,146,65,1,0
0,146,67,0,1
0,146,75,0,3
0,146,78,0,1
0,146,83,0,1
0,146,84,0,2
0,146,85,0,1
0,147,75,0,1
0,147,78,0,1
0,147,80,0,1
0,147,94,0,1
0,148,59,1,0
0,148,75,0,1
0,148,85,0,1
0,148,86,0,1
0,148,87,1,0
0,148,93,0,1
0,149,74,0,1
0,149,77,0,2
0,149,78,0,1
0,149,87,0,6
0,150,72,1,0
0,150,78,0,3
0,150,85,0,1
0,151,65,0,2
0,151,69,0,1
0,151,72,0,2
0,151,75,0,1
0,151,77,0,3
0,152,71,0,1
0,152,75,1,6
0,152,76,1,10
0,152,80,0,1
0,153,73,0,1
0,153,80,0,7
0,154,38,2,0
0,155,68,0,1
0,155,71,0,6
0,156,76,0,1
0,157,83,0,2
0,159,73,0,1
0,164,56,1,1
0,164,69,0,1
0,172,66,0,1
0,175,109,0,1
0,179,47,0,1
0,184,46,0,1
0,186,94,0,1
1,82,59,0,1
1,83,93,0,1
1,94,76,0,2
1,99,65,0,1
1,100,45,0,1
1,102,43,0,1
1,104,80,0,1
1,108,37,0,1
1,113,77,0,1
1,113,81,0,1
1,116,72,1,0
1,116,81,0,1
1,117,80,1,0
1,118,68,0,1
1,118,80,1,10
1,119,78,0,1
1,120,78,0,3
1,121,66,0,1
1,121,79,0,1
1,121,80,0,3
1,121,88,0,1
1,122,80,0,1
1,125,77,0,1
1,125,78,0,2
1,126,56,0,2
1,126,79,0,1
1,127,58,0,1
1,128,73,0,1
1,129,83,0,1
1,129,88,0,1
1,130,68,0,1
1,130,73,0,3
1,131,72,0,1
1,131,73,2,17
1,131,76,0,1
1,131,80,0,1
1,131,81,0,2
1,132,73,0,4
1,132,74,0,1
1,132,76,0,1
1,133,75,0,1
1,133,79,0,1
1,134,67,0,1
1,134,70,1,2
1,134,71,0,1
1,134,72,0,2
1,134,80,0,1
1,134,87,0,1
1,135,71,0,1
1,135,73,0,1
1,135,74,0,1
1,135,75,0,1
1,135,77,0,1
1,135,83,0,1
1,136,68,0,3
1,136,70,1,8
1,136,71,0,3
1,136,73,0,2
1,136,74,1,3
1,136,75,0,1
1,136,79,0,1
1,137,65,0,1
1,137,66,2,2
1,137,70,0,2
1,137,71,0,2
1,137,72,0,2
1,137,78,0,2
1,137,84,0,1
1,138,60,0,1
1,138,66,0,1
1,138,69,0,4
1,138,71,0,1
1,138,72,1,5
1,138,79,6,68
1,139,63,0,1
1,140,69,0,1
1,140,70,0,2
1,141,61,0,1
1,141,67,0,6
1,141,68,0,1
1,141,70,0,8
1,142,74,0,1
1,143,49,0,1
1,143,59,0,1
1,143,73,0,1
1,143,75,1,1
1,143,79,1,7
1,143,80,0,1
1,144,71,0,1
1,144,74,0,5
1,145,65,0,1
1,145,83,0,1
1,145,84,0,1
1,145,85,0,2
1,146,78,0,1
1,146,81,0,1
1,146,83,1,0
1,147,77,0,1
1,147,80,0,1
1,147,85,0,1
1,148,76,0,1
1,148,79,0,1
1,148,86,0,2
1,148,87,1,0
1,148,94,0,1
1,149,74,0,1
1,149,77,0,2
1,150,72,1,0
1,150,75,0,1
1,150,77,0,1
1,150,78,5,3
1,150,85,0,1
1,150,88,0,2
1,150,113,0,1
1,151,65,0,1
1,151,75,0,3
1,151,76,0,1
1,151,78,0,1
1,152,75,1,7
1,152,76,0,1
1,153,80,0,3
1,154,38,3,0
1,155,56,0,1
1,155,71,0,3
1,155,73,0,1
1,156,75,0,1
1,157,83,0,1
1,161,96,0,1
1,164,69,0,1
1,164,86,0,1
1,166,72,0,1
1,166,87,1,1
1,179,123,0,1
2,84,56,0,1
2,94,76,0,1
2,104,80,0,1
2,105,80,1,0
2,109,78,0,1
2,112,76,0,1
2,114,76,0,2
2,115,80,0,1
2,116,72,1,0
2,117,80,1,1
2,118,80,0,3
2,118,81,0,1
2,119,79,0,4
2,119,82,1,0
2,121,80,0,1
2,121,88,0,2
2,122,77,0,1
2,124,96,3,0
2,127,58,0,1
2,128,69,0,1
2,129,76,0,1
2,131,72,0,2
2,131,73,1,4
2,131,76,0,1
2,131,80,0,1
2,131,81,0,3
2,132,73,0,5
2,133,79,0,1
2,134,68,0,1
2,134,71,0,1
2,134,72,0,2
2,134,77,0,1
2,135,100,0,1
2,136,67,0,1
2,136,68,0,1
2,136,70,0,2
2,136,71,0,2
2,136,74,0,1
2,136,79,1,1
2,137,67,0,1
2,137,68,0,1
2,137,71,0,1
2,138,66,0,1
2,138,67,0,2
2,138,69,0,1
2,138,72,0,3
2,138,79,2,45
2,139,66,1,0
2,139,69,0,1
2,141,67,0,1
2,141,70,0,1
2,141,72,0,1
2,143,64,0,1
2,143,70,0,2
2,143,79,1,3
2,143,82,0,1
2,145,83,0,1
2,147,87,0,1
2,148,59,3,0
2,148,86,0,2
2,148,87,1,0
2,149,80,0,1
2,150,78,0,1
2,150,85,0,1
2,151,77,0,2
2,153,72,0,1
2,153,75,1,0
2,154,38,3,0
2,155,71,0,1
2,157,84,0,1
3,83,65,0,1
3,107,57,0,1
3,110,74,0,1
3,110,101,0,1
3,113,78,0,2
3,116,72,1,0
3,116,81,0,2
3,117,75,0,1
3,118,80,0,2
3,120,66,0,1
3,120,78,0,2
3,121,79,0,1
3,121,80,0,1
3,121,88,0,2
3,122,80,1,1
3,123,82,0,1
3,128,72,0,1
3,130,73,0,1
3,130,76,0,2
3,131,67,0,1
3,131,72,0,3
3,131,73,1,11
3,132,73,0,2
3,132,76,0,1
3,133,77,0,3
3,134,64,0,1
3,134,68,1,2
3,134,71,0,2
3,134,87,0,2
3,135,74,0,1
3,135,75,0,1
3,135,76,0,1
3,135,78,0,1
3,136,68,0,1
3,136,70,0,1
3,136,71,0,1
3,136,74,0,3
3,136,75,0,1
3,136,89,0,1
3,137,66,1,1
3,138,72,0,3
3,138,79,0,34
3,139,70,0,1
3,139,74,0,1
3,139,91,0,1
3,141,70,0,3
3,142,69,0,1
3,143,75,0,1
3,143,79,0,1
3,145,83,0,1
3,146,64,0,1
3,148,59,2,0
3,148,87,1,0
3,150,78,0,1
3,150,88,0,1
3,151,76,0,1
3,152,76,0,3
3,152,78,0,1
3,153,80,0,1
3,154,38,3,0
3,170,70,1,0
4,107,57,0,2
4,112,81,0,1
4,114,81,1,1
4,116,72,1,0
4,116,79,0,1
4,118,80,0,1
4,122,78,0,1
4,126,87,0,1
4,127,51,0,1
4,128,87,0,1
4,130,77,0,1
4,131,72,0,1
4,131,73,0,2
4,132,73,0,1
4,134,73,0,1
4,135,73,0,1
4,136,68,0,1
4,136,72,0,1
4,137,66,1,0
4,137,72,0,1
4,138,69,1,1
4,138,71,0,2
4,138,79,0,26
4,140,62,0,1
4,140,70,0,1
4,141,67,0,1
4,141,70,0,1
4,143,75,0,1
4,147,75,0,1
4,148,87,1,0
4,154,38,3,0
4,155,71,0,1
4,161,79,2,0
4,196,69,1,1
5,70,70,0,1
5,82,68,0,1
5,107,57,0,3
5,116,72,2,0
5,118,80,0,1
5,119,78,0,1
5,121,67,0,1
5,121,79,0,1
5,122,80,0,2
5,129,69,0,1
5,130,68,0,1
5,131,72,0,2
5,131,73,0,3
5,131,81,0,1
5,132,58,0,1
5,132,72,0,1
5,132,73,0,2
5,132,74,0,1
5,136,68,0,1
5,136,70,0,1
5,136,74,0,1
5,136,75,0,2
5,137,71,0,1
5,137,72,1,0
5,138,72,0,2
5,138,79,0,27
5,139,71,0,1
5,140,58,0,1
5,140,67,0,1
5,141,70,0,1
5,142,78,0,1
5,143,64,0,1
5,143,73,1,0
5,144,60,0,1
5,148,87,1,0
5,149,77,0,1
5,150,78,0,3
5,151,80,0,1
5,153,80,0,1
5,154,38,3,0
5,155,72,0,1
5,161,73,1,0
5,164,59,0,2
6,104,81,0,1
6,106,78,0,1
6,107,57,0,3
6,108,57,0,1
6,109,72,0,1
6,116,68,1,0
6,116,72,1,0
6,117,84,0,1
6,117,90,0,1
6,120,78,0,2
6,120,79,0,1
6,121,77,0,1
6,122,80,0,1
6,126,52,0,1
6,126,82,0,1
6,128,72,0,1
6,130,73,0,1
6,131,73,2,5
6,131,80,0,1
6,132,73,0,1
6,132,74,0,2
6,132,77,0,1
6,133,77,0,1
6,133,85,0,1
6,135,68,0,1
6,135,76,0,1
6,135,90,0,1
6,136,72,0,1
6,136,73,0,1
6,137,65,0,1
6,137,66,0,2
6,137,70,0,1
6,137,71,0,1
6,137,83,0,1
6,138,71,0,1
6,138,72,0,1
6,138,79,0,30
6,140,66,0,2
6,140,70,7,3
6,140,74,0,1
6,142,69,0,1
6,143,80,0,1
6,144,82,0,1
6,145,87,0,1
6,146,84,0,1
6,148,76,0,1
6,148,87,1,0
6,150,78,0,3
6,150,88,0,1
6,151,78,0,1
6,151,79,0,1
6,152,66,0,1
6,152,75,0,2
6,154,38,1,0
6,154,73,0,2
6,155,71,0,2
6,155,90,0,1
6,194,100,0,1
7,103,81,0,1
7,104,80,0,1
7,107,57,0,3
7,108,72,0,1
7,109,78,0,1
7,109,103,0,1
7,114,76,0,1
7,114,93,1,0
7,116,37,1,0
7,116,72,3,0
7,117,79,0,1
7,118,80,0,1
7,118,97,0,1
7,119,78,0,1
7,120,76,0,1
7,122,77,0,1
7,122,78,0,1
7,122,80,0,1
7,122,104,0,1
7,124,74,0,1
7,125,73,0,1
7,125,81,1,0
7,126,56,0,1
7,129,68,0,1
7,129,69,1,2
7,130,73,0,4
7,130,76,0,1
7,130,77,0,1
7,131,72,0,4
7,131,73,4,7
7,131,76,0,1
7,131,80,0,1
7,131,81,0,4
7,132,53,0,1
7,132,73,0,2
7,132,74,0,1
7,134,72,1,0
7,134,75,0,1
7,135,69,0,1
7,135,76,0,1
7,136,61,0,1
7,136,68,0,4
7,136,70,0,1
7,136,72,0,1
7,136,74,0,1
7,136,76,0,1
7,136,81,0,1
7,137,50,1,0
7,137,65,0,2
7,137,70,0,1
7,137,72,0,1
7,137,85,0,1
7,138,49,0,1
7,138,59,0,1
7,138,68,0,1
7,138,69,0,1
7,138,72,0,1
7,138,79,2,51
7,139,49,0,2
7,139,67,0,1
7,139,70,0,1
7,140,68,0,1
7,140,69,1,0
7,140,70,0,2
7,140,82,0,1
7,141,60,0,1
7,141,67,0,2
7,141,70,0,1
7,141,76,0,1
7,141,78,0,1
7,142,61,1,0
7,142,74,0,1
7,142,81,1,0
7,142,85,2,0
7,143,62,0,1
7,143,79,0,2
7,144,85,0,1
7,145,88,0,1
7,146,75,1,1
7,146,78,0,1
7,146,82,0,1
7,147,75,0,1
7,147,87,0,2
7,148,62,0,1
7,148,87,1,0
7,149,78,0,1
7,149,79,0,1
7,150,78,0,1
7,151,65,0,2
7,151,70,0,1
7,151,76,0,1
7,151,80,0,2
7,152,66,0,1
7,152,76,0,6
7,152,80,0,5
7,153,80,0,2
7,154,38,1,0
7,154,81,0,1
7,155,71,0,1
7,159,64,0,1
7,160,84,0,1
7,176,55,1,0
7,180,73,0,1
7,192,99,0,1
8,72,121,0,1
8,83,93,1,1
8,84,117,0,1
8,94,111,0,1
8,103,80,0,2
8,103,81,0,1
8,104,80,0,1
8,105,79,0,1
8,107,57,1,2
8,107,58,0,1
8,110,79,0,1
8,110,106,0,1
8,112,77,0,1
8,112,83,0,1
8,113,74,0,1
8,113,76,0,1
8,113,86,0,1
8,114,76,0,2
8,115,81,1,0
8,116,37,1,0
8,116,70,0,1
8,116,72,2,0
8,116,73,0,1
8,116,81,0,2
8,116,99,0,1
8,117,75,0,1
8,117,79,0,2
8,117,80,0,1
8,118,80,0,2
8,118,87,0,1
8,118,92,0,2
8,119,78,0,2
8,119,79,0,2
8,119,87,0,1
8,120,66,0,1
8,120,79,0,3
8,121,78,0,1
8,121,79,0,1
8,121,80,0,4
8,122,80,0,2
8,124,58,1,1
8,124,70,0,1
8,125,60,0,1
8,125,67,0,1
8,125,78,0,2
8,125,79,0,1
8,125,81,0,1
8,125,89,3,0
8,127,68,1,1
8,128,77,0,1
8,128,79,0,1
8,129,68,0,1
8,129,69,0,2
8,129,76,0,1
8,129,80,1,0
8,130,57,0,2
8,130,73,0,2
8,131,67,0,2
8,131,72,0,8
8,131,73,7,10
8,131,75,0,1
8,131,76,0,2
8,131,80,0,2
8,131,81,0,7
8,132,69,0,1
8,132,73,0,4
8,132,74,0,2
8,132,76,0,2
8,133,66,0,1
8,133,80,0,1
8,134,71,0,2
8,134,72,1,0
8,134,74,0,1
8,134,81,0,2
8,134,87,0,2
8,135,67,0,1
8,135,73,0,2
8,135,74,0,1
8,135,75,0,1
8,135,76,0,3
8,135,77,0,2
8,136,63,0,1
8,136,68,1,2
8,136,70,0,5
8,136,72,0,8
8,136,73,0,5
8,136,74,0,1
8,136,77,0,1
8,136,79,0,1
8,137,58,0,1
8,137,63,0,1
8,137,64,1,1
8,137,66,0,1
8,137,68,0,1
8,137,69,0,1
8,137,70,0,2
8,137,78,0,1
8,138,60,0,1
8,138,66,0,2
8,138,67,0,4
8,138,68,0,1
8,138,69,0,1
8,138,72,0,1
8,138,79,7,113
8,139,62,0,1
8,139,68,0,1
8,139,69,0,1
8,139,71,3,0
8,139,74,0,1
8,140,61,0,1
8,140,65,0,1
8,140,67,1,0
8,140,68,0,1
8,140,69,1,0
8,140,70,0,6
8,140,78,0,1
8,140,84,0,1
8,140,92,0,1
8,141,62,0,1
8,141,67,1,5
8,141,68,0,1
8,141,70,0,8
8,142,64,0,1
8,142,69,1,1
8,142,85,3,0
8,143,58,0,1
8,143,64,1,0
8,143,78,0,2
8,143,79,1,8
8,143,80,0,3
8,144,59,1,0
8,144,65,0,1
8,144,79,0,2
8,144,83,0,1
8,144,85,0,1
8,145,74,0,1
8,145,88,1,1
8,146,67,1,1
8,146,82,0,1
8,146,86,0,1
8,147,87,0,1
8,147,93,0,1
8,148,75,0,2
8,148,82,0,1
8,148,87,1,0
8,149,77,0,1
8,149,79,0,2
8,150,72,1,0
8,150,78,0,5
8,150,79,0,1
8,150,95,0,2
8,151,65,0,2
8,151,71,0,1
8,151,75,0,1
8,151,78,0,1
8,151,79,0,1
8,152,75,0,2
8,152,80,0,1
8,152,85,0,1
8,152,86,0,1
8,153,74,0,1
8,153,76,0,1
8,153,80,0,3
8,154,72,0,1
8,154,73,0,5
8,154,103,0,1
8,155,71,0,2
8,155,72,0,1
8,156,75,0,2
8,157,75,1,0
8,157,77,2,0
8,157,83,1,1
8,158,70,0,1
8,158,77,0,1
8,160,80,0,1
8,161,71,0,1
8,163,72,0,1
8,164,73,0,1
8,174,63,0,1
8,189,102,0,1
9,69,98,1,0
9,74,98,1,0
9,82,72,0,1
9,84,65,0,1
9,88,78,0,1
9,90,30,0,1
9,93,117,1,1
9,94,76,0,1
9,98,97,0,1
9,101,66,0,1
9,103,80,0,1
9,103,81,1,2
9,103,82,0,1
9,104,78,0,1
9,104,79,0,2
9,104,80,0,4
9,104,81,0,4
9,105,44,0,1
9,106,82,0,2
9,107,57,0,5
9,108,72,0,1
9,108,105,0,1
9,109,72,0,1
9,110,62,0,1
9,110,78,0,2
9,111,77,0,1
9,112,76,0,1
9,112,83,0,1
9,113,76,0,4
9,114,81,0,2
9,115,80,0,1
9,115,81,0,1
9,116,37,1,0
9,116,72,1,0
9,116,81,0,3
9,117,75,0,1
9,117,77,0,1
9,117,78,0,1
9,117,114,0,1
9,118,74,1,0
9,118,79,0,2
9,118,80,0,4
9,118,81,0,1
9,119,75,0,1
9,119,77,0,1
9,119,78,0,1
9,119,79,0,2
9,119,81,0,1
9,119,87,0,1
9,119,99,0,1
9,120,78,0,7
9,121,78,1,2
9,121,79,0,1
9,121,80,0,2
9,121,81,0,1
9,121,112,1,0
9,122,47,0,1
9,122,68,0,1
9,122,69,0,1
9,122,79,0,2
9,122,80,1,5
9,122,81,0,1
9,122,82,0,1
9,122,84,0,1
9,123,62,0,1
9,123,80,1,1
9,124,56,0,1
9,124,70,0,1
9,124,79,0,1
9,125,88,0,1
9,126,58,0,1
9,126,77,1,0
9,127,58,0,1
9,128,60,0,1
9,128,73,0,2
9,129,68,0,1
9,129,69,2,1
9,129,76,0,1
9,129,88,0,1
9,129,90,0,1
9,129,114,0,1
9,130,68,0,2
9,130,73,0,1
9,130,76,1,2
9,130,83,0,1
9,131,60,0,1
9,131,72,0,3
9,131,73,3,21
9,131,76,0,5
9,131,80,0,1
9,131,81,0,14
9,132,70,0,1
9,132,73,1,7
9,132,74,0,1
9,132,76,0,1
9,132,78,1,0
9,133,68,0,1
9,133,78,0,1
9,133,84,0,1
9,134,64,0,4
9,134,70,0,1
9,134,71,1,2
9,134,73,0,2
9,135,55,0,1
9,135,61,1,0
9,135,63,1,1
9,135,66,0,3
9,135,73,0,5
9,135,74,0,5
9,135,75,0,2
9,135,76,0,1
9,135,79,0,2
9,135,81,0,2
9,135,90,0,1
9,135,92,0,1
9,136,67,0,2
9,136,68,1,7
9,136,70,0,2
9,136,71,0,1
9,136,72,1,6
9,136,73,0,5
9,136,74,0,4
9,136,75,0,1
9,136,79,0,1
9,136,89,0,1
9,137,63,0,1
9,137,65,0,1
9,137,66,0,1
9,137,67,0,2
9,137,68,0,1
9,137,70,0,1
9,137,72,0,4
9,138,60,0,1
9,138,65,0,1
9,138,66,0,2
9,138,67,0,2
9,138,69,0,1
9,138,70,0,1
9,138,71,0,1
9,138,72,0,1
9,138,79,7,110
9,138,99,0,1
9,139,58,0,1
9,139,62,0,1
9,139,63,0,1
9,139,69,0,2
9,139,71,2,0
9,139,72,0,2
9,139,75,0,1
9,139,91,0,1
9,140,58,0,1
9,140,59,0,1
9,140,62,1,1
9,140,65,0,2
9,140,66,0,2
9,140,67,0,1
9,140,68,0,1
9,140,69,0,1
9,140,70,1,4
9,140,71,0,1
9,140,74,1,0
9,140,78,0,1
9,141,62,0,3
9,141,68,0,3
9,141,70,1,12
9,141,71,0,1
9,141,83,1,0
9,142,64,0,1
9,142,69,0,1
9,142,71,1,0
9,142,73,0,1
9,142,74,0,1
9,142,85,4,0
9,142,86,0,1
9,143,62,0,1
9,143,67,0,1
9,143,79,1,7
9,143,80,1,1
9,143,81,0,2
9,143,83,0,1
9,143,88,0,2
9,144,60,0,1
9,144,73,0,1
9,144,75,0,1
9,145,69,0,1
9,145,79,0,1
9,145,83,0,1
9,145,85,0,2
9,146,62,0,2
9,146,63,0,1
9,146,67,0,1
9,146,80,0,1
9,146,86,0,1
9,147,75,0,1
9,148,87,1,0
9,148,94,1,2
9,149,52,0,1
9,149,75,2,0
9,149,78,0,1
9,149,79,0,1
9,149,80,0,1
9,149,92,0,1
9,150,72,2,0
9,150,77,0,1
9,150,78,0,2
9,150,79,0,1
9,150,93,0,1
9,150,95,0,1
9,151,91,0,1
9,152,73,0,1
9,152,74,0,1
9,152,76,0,1
9,152,78,0,1
9,152,80,0,1
9,152,84,0,1
9,153,55,0,1
9,153,66,0,2
9,153,80,0,8
9,154,38,2,0
9,154,74,0,3
9,155,71,0,3
9,155,76,0,1
9,155,84,0,1
9,156,74,0,1
9,157,92,0,1
9,158,53,0,1
9,158,54,0,1
9,158,72,0,1
9,161,71,0,1
9,164,60,0,1
9,168,75,0,1
9,169,98,0,1
9,170,70,1,0
9,171,98,1,0
9,173,64,0,1
9,173,77,1,0
9,176,92,1,0
9,180,73,0,1
9,180,105,1,0
9,183,118,1,0
9,184,59,0,1
9,193,59,0,1
9,208,105,0,1
9,210,130,1,0
10,80,68,0,1
10,83,79,0,1
10,84,117,0,1
10,86,70,0,1
10,87,66,0,1
10,94,76,0,1
10,99,112,0,1
10,100,45,0,1
10,103,81,1,5
10,103,82,1,0
10,104,44,0,1
10,104,80,0,7
10,104,81,1,4
10,104,91,0,1
10,105,79,1,6
10,107,57,0,1
10,107,58,0,1
10,108,72,0,1
10,112,76,0,1
10,113,76,0,1
10,113,100,0,1
10,113,101,0,1
10,114,76,1,4
10,114,81,0,1
10,115,76,0,1
10,115,80,0,3
10,116,37,1,0
10,116,72,1,0
10,116,80,0,1
10,116,81,0,1
10,116,89,0,1
10,117,80,0,1
10,117,94,0,1
10,118,77,0,1
10,118,78,0,1
10,118,80,1,11
10,118,87,0,1
10,119,77,0,1
10,119,78,0,1
10,119,79,0,1
10,120,68,0,1
10,120,78,1,3
10,120,86,0,1
10,121,78,0,1
10,121,79,0,1
10,121,80,0,3
10,121,87,0,1
10,121,106,0,1
10,122,78,0,1
10,122,80,0,2
10,122,83,0,1
10,123,58,0,1
10,123,77,0,1
10,124,70,0,1
10,124,74,0,2
10,124,81,0,1
10,125,90,3,0
10,126,58,0,1
10,126,80,0,1
10,127,58,0,1
10,128,60,0,2
10,128,76,0,1
10,128,77,0,1
10,128,79,0,1
10,129,61,0,1
10,129,68,0,1
10,129,69,0,3
10,129,80,0,1
10,129,91,0,1
10,129,111,1,0
10,131,67,0,1
10,131,72,0,7
10,131,73,4,36
10,131,75,1,2
10,131,76,0,1
10,131,80,0,2
10,131,81,1,22
10,131,82,0,1
10,132,55,0,1
10,132,65,0,1
10,132,67,0,1
10,132,69,0,1
10,132,70,0,2
10,132,73,1,7
10,132,74,0,4
10,132,76,0,3
10,132,80,0,1
10,133,58,0,1
10,133,76,0,1
10,133,81,0,1
10,133,85,0,1
10,134,58,0,1
10,134,64,0,5
10,134,69,0,1
10,134,71,0,1
10,134,72,1,2
10,134,83,1,0
10,134,87,0,1
10,134,95,0,1
10,135,49,0,1
10,135,57,0,1
10,135,59,0,1
10,135,63,0,1
10,135,66,0,6
10,135,72,0,2
10,135,73,0,2
10,135,74,0,2
10,135,75,1,1
10,135,76,0,7
10,135,77,0,1
10,135,85,0,1
10,136,39,0,1
10,136,67,0,1
10,136,68,0,10
10,136,70,1,6
10,136,71,0,1
10,136,72,1,5
10,136,73,0,2
10,136,74,0,1
10,136,77,0,1
10,136,79,0,2
10,136,87,0,1
10,136,89,0,1
10,137,63,0,1
10,137,66,1,3
10,137,69,0,1
10,137,71,0,1
10,137,75,0,1
10,138,59,0,1
10,138,60,0,2
10,138,62,0,1
10,138,66,0,3
